Sample Name,Cell_type,TISSUE
GSM3475569,NK Cell,Spleen
GSM3475570,T Cell,Spleen
GSM3475571,T Cell,Spleen
GSM3475572,T Cell,Spleen
GSM3475573,T Cell,Spleen
GSM3475574,T Cell,Spleen
GSM3475575,T Cell,Spleen
GSM3475576,T Cell,Spleen
GSM3475577,T Cell,Spleen
GSM3475578,T Cell,Spleen
GSM3475579,T Cell,Spleen
GSM3475580,T Cell,Spleen
GSM3475581,T Cell,Spleen
GSM3475582,T Cell,Spleen
GSM3475583,T Cell,Spleen
GSM3475584,T Cell,Spleen
GSM3475585,T Cell,Spleen
GSM3475586,T Cell,Spleen
GSM3475587,T Cell,Spleen
GSM3475588,T Cell,Spleen
GSM3475589,T Cell,Spleen
GSM3475590,T Cell,Spleen
GSM3475591,T Cell,Spleen
GSM3475592,T Cell,Spleen
GSM3475593,T Cell,Spleen
GSM3475594,T Cell,Spleen
GSM3475595,T Cell,Spleen
GSM3475513,B Cell,Spleen
GSM3475514,B Cell,Spleen
GSM3475515,B Cell,Spleen
GSM3475516,B Cell,Spleen
GSM3475517,B Cell,Spleen
GSM3475518,B Cell,Spleen
GSM3475519,B Cell,Spleen
GSM3475520,B Cell,Spleen
GSM3475521,B Cell,Spleen
GSM3475522,B Cell,Spleen
GSM3475523,B Cell,Spleen
GSM3475524,B Cell,Spleen
GSM3475525,B Cell,Spleen
GSM3475526,B Cell,Spleen
GSM3475527,B Cell,Spleen
GSM3475528,Macrophage,Peritoneal Cavity
GSM3475529,Macrophage,Peritoneal Cavity
GSM3475530,Macrophage,Peritoneal Cavity
GSM3475531,Macrophage,Peritoneal Cavity
GSM3475532,Macrophage,Peritoneal Cavity
GSM3475533,Macrophage,Peritoneal Cavity
GSM3475534,Macrophage,Peritoneal Cavity
GSM3475535,Macrophage,Peritoneal Cavity
GSM3475536,Macrophage,Peritoneal Cavity
GSM3475537,Macrophage,Peritoneal Cavity
GSM3475538,Macrophage,Peritoneal Cavity
GSM3475539,Macrophage,Peritoneal Cavity
GSM3475540,Macrophage,Peritoneal Cavity
GSM3475541,Macrophage,Peritoneal Cavity
GSM3475542,Macrophage,Peritoneal Cavity
GSM3475543,Macrophage,Peritoneal Cavity
GSM3475544,Macrophage,Spleen
GSM3475545,Macrophage,Spleen
GSM3475546,Macrophage,Peritoneal Cavity
GSM3475547,Macrophage,Peritoneal Cavity
GSM3475548,Macrophage,Peritoneal Cavity
GSM3475549,Macrophage,Peritoneal Cavity
GSM3475550,Macrophage,Peritoneal Cavity
GSM3475551,Macrophage,Peritoneal Cavity
GSM3475552,NK Cell,Spleen
GSM3475553,NK Cell,Spleen
GSM3475554,NK Cell,Spleen
GSM3475555,NK Cell,Spleen
GSM3475556,NK Cell,Spleen
GSM3475557,NK Cell,Spleen
GSM3475558,NK Cell,Spleen
GSM3475559,NK Cell,Spleen
GSM3475560,NK Cell,Spleen
GSM3475561,NK Cell,Spleen
GSM3475562,NK Cell,Spleen
GSM3475563,NK Cell,Spleen
GSM3475564,NK Cell,Spleen
GSM3475565,NK Cell,Spleen
GSM3475566,NK Cell,Spleen
GSM3475567,NK Cell,Spleen
GSM3475568,NK Cell,Spleen
