Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sorting_markers,source_name,SRA Study,Strain,TISSUE
SRR10691503,6 weeks old,RNA-Seq,76,993850404,PRJNA429735,SAMN13559437,376358139,ab T Cell,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7368238,GSM4217693,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:33,1,GSM4217693,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Lung,SRP128986,C57BL/6J,Lung
SRR10691504,6 weeks old,RNA-Seq,76,1106867420,PRJNA429735,SAMN13559436,415752457,ab T Cell,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7368239,GSM4217694,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:34,1,GSM4217694,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Lung,SRP128986,C57BL/6J,Lung
SRR10691505,6 weeks old,RNA-Seq,76,1219508844,PRJNA429735,SAMN13559435,461125215,ab T Cell,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7368240,GSM4217695,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:37,1,GSM4217695,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Spleen,SRP128986,C57BL/6J,Spleen
SRR10691506,6 weeks old,RNA-Seq,76,945046624,PRJNA429735,SAMN13559434,355953190,ab T Cell,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7368241,GSM4217696,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:37,1,GSM4217696,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Spleen,SRP128986,C57BL/6J,Spleen
SRR10691507,6 weeks old,RNA-Seq,76,801722480,PRJNA429735,SAMN13559433,304393588,ab T Cell,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7368242,GSM4217697,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:35,1,GSM4217697,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Spleen,SRP128986,C57BL/6J,Spleen
SRR10691508,6 weeks old,RNA-Seq,76,859516832,PRJNA429735,SAMN13559432,325942833,ab T Cell,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7368243,GSM4217698,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:39,1,GSM4217698,PI-CD45+CD8-CD19-TCRb+aGalCer-CD1dTetramer,Thymus,SRP128986,C57BL/6J,Thymus
SRR10691509,6 weeks old,RNA-Seq,76,881167180,PRJNA429735,SAMN13559431,332528107,ab T Cell,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7368244,GSM4217699,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:38,1,GSM4217699,PI-CD45+CD8-CD19-TCRb+aGalCer-CD1dTetramer,Thymus,SRP128986,C57BL/6J,Thymus
SRR10691510,6 weeks old,RNA-Seq,76,1174031204,PRJNA429735,SAMN13559430,441194756,ab T Cell,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7368245,GSM4217700,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:42,1,GSM4217700,PI-CD45+CD8-CD19-TCRb+aGalCer-CD1dTetramer,Thymus,SRP128986,C57BL/6J,Thymus
SRR10691511,6 weeks old,RNA-Seq,76,879600440,PRJNA429735,SAMN13559429,334896482,ab T Cell,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7368246,GSM4217701,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:41,1,GSM4217701,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Liver,SRP128986,C57BL/6J,Liver
SRR10691512,6 weeks old,RNA-Seq,76,1111288416,PRJNA429735,SAMN13559441,421114152,ab T Cell,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7368247,GSM4217702,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:41,1,GSM4217702,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Liver,SRP128986,C57BL/6J,Liver
