"interaction","cell1","cell2","p-value"
"TGFB1_ACVR1B_TGFBR2","B Cell","ab T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","ab T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","ab T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","ab T Cell","0.01"
"TGFB1_ACVR1B_TGFBR2","Monocytes","ab T Cell","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","B Cell","0"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","B Cell","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","B Cell","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","B Cell","0.02"
"TGFB1_ACVR1B_TGFBR2","Monocytes","B Cell","0.01"
"TGFB1_ACVR1B_TGFBR2","B Cell","Basophils","0"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","Basophils","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Basophils","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","Basophils","0"
"TGFB1_ACVR1B_TGFBR2","Mast Cells","Basophils","0.04"
"TGFB1_ACVR1B_TGFBR2","Monocytes","Basophils","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Dendritic cells","0"
"TGFB1_ACVR1B_TGFBR2","ab T Cell","Eosinophil","0.01"
"TGFB1_ACVR1B_TGFBR2","B Cell","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","Basophils","Eosinophil","0.01"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","Innate Lymphocytes","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","Macrophage","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","Mast Cells","Eosinophil","0.01"
"TGFB1_ACVR1B_TGFBR2","Monocytes","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","NK Cell","Eosinophil","0.04"
"TGFB1_ACVR1B_TGFBR2","Stem Cells","Eosinophil","0.04"
"TGFB1_ACVR1B_TGFBR2","T Cell","Eosinophil","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","gd T cells","0"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","gd T cells","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","gd T cells","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","gd T cells","0"
"TGFB1_ACVR1B_TGFBR2","Monocytes","gd T cells","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","Granulocytes","0"
"TGFB1_ACVR1B_TGFBR2","Basophils","Granulocytes","0.04"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","Granulocytes","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Granulocytes","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","Granulocytes","0"
"TGFB1_ACVR1B_TGFBR2","Monocytes","Granulocytes","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Innate Lymphocytes","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Macrophage","0"
"TGFB1_ACVR1B_TGFBR2","Monocytes","Macrophage","0.04"
"TGFB1_ACVR1B_TGFBR2","ab T Cell","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","Basophils","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","Innate Lymphocytes","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","Macrophage","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","Mast Cells","Mast Cells","0.01"
"TGFB1_ACVR1B_TGFBR2","Monocytes","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","T Cell","Mast Cells","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","Monocytes","0.01"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","Monocytes","0.02"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Monocytes","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","Monocytes","0.03"
"TGFB1_ACVR1B_TGFBR2","Monocytes","Monocytes","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","NK Cell","0.01"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Stem Cells","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","Stromal Cells","0"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","Stromal Cells","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","Stromal Cells","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","Stromal Cells","0"
"TGFB1_ACVR1B_TGFBR2","Macrophage","Stromal Cells","0.03"
"TGFB1_ACVR1B_TGFBR2","Monocytes","Stromal Cells","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Dendritic cells","T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Eosinophil","T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Granulocytes","T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Monocytes","T Cell","0"
"TGFB1_ACVR1C_TGFBR2","B Cell","ab T Cell","0"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","ab T Cell","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","ab T Cell","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","ab T Cell","0.02"
"TGFB1_ACVR1C_TGFBR2","Monocytes","ab T Cell","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","B Cell","0"
"TGFB1_ACVR1C_TGFBR2","Monocytes","B Cell","0.01"
"TGFB1_ACVR1C_TGFBR2","ab T Cell","Basophils","0.02"
"TGFB1_ACVR1C_TGFBR2","B Cell","Basophils","0"
"TGFB1_ACVR1C_TGFBR2","Basophils","Basophils","0.01"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","Basophils","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Basophils","0"
"TGFB1_ACVR1C_TGFBR2","gd T cells","Basophils","0.03"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","Basophils","0"
"TGFB1_ACVR1C_TGFBR2","Innate Lymphocytes","Basophils","0.01"
"TGFB1_ACVR1C_TGFBR2","Macrophage","Basophils","0.01"
"TGFB1_ACVR1C_TGFBR2","Mast Cells","Basophils","0.01"
"TGFB1_ACVR1C_TGFBR2","Monocytes","Basophils","0"
"TGFB1_ACVR1C_TGFBR2","NK Cell","Basophils","0.01"
"TGFB1_ACVR1C_TGFBR2","Stem Cells","Basophils","0.03"
"TGFB1_ACVR1C_TGFBR2","T Cell","Basophils","0.01"
"TGFB1_ACVR1C_TGFBR2","B Cell","Dendritic cells","0.04"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","Dendritic cells","0.04"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Dendritic cells","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","Dendritic cells","0"
"TGFB1_ACVR1C_TGFBR2","Monocytes","Dendritic cells","0.01"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Eosinophil","0"
"TGFB1_ACVR1C_TGFBR2","B Cell","gd T cells","0"
"TGFB1_ACVR1C_TGFBR2","Basophils","gd T cells","0.03"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","gd T cells","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","gd T cells","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","gd T cells","0"
"TGFB1_ACVR1C_TGFBR2","Monocytes","gd T cells","0"
"TGFB1_ACVR1C_TGFBR2","B Cell","Granulocytes","0.01"
"TGFB1_ACVR1C_TGFBR2","Basophils","Granulocytes","0.04"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","Granulocytes","0.02"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Granulocytes","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","Granulocytes","0.01"
"TGFB1_ACVR1C_TGFBR2","Monocytes","Granulocytes","0"
"TGFB1_ACVR1C_TGFBR2","B Cell","Innate Lymphocytes","0"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","Innate Lymphocytes","0.01"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Innate Lymphocytes","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","Innate Lymphocytes","0.02"
"TGFB1_ACVR1C_TGFBR2","Monocytes","Innate Lymphocytes","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Macrophage","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Mast Cells","0"
