"interaction","cell1","cell2","p-value"
"TGFB3_ACVR1C_TGFBR2","Bone Marrow","Adipose Tissue","0"
"TGFB3_ACVR1C_TGFBR2","Lamina Propia","Adipose Tissue","0"
"TGFB3_ACVR1C_TGFBR2","Lung","Adipose Tissue","0"
"TGFB3_ACVR1C_TGFBR2","Lymph Node","Adipose Tissue","0.01"
"TGFB3_ACVR1C_TGFBR2","Spleen","Adipose Tissue","0"
"TGFB3_ACVR1C_TGFBR2","Splenic","Adipose Tissue","0.04"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Adipose Tissue","0"
"TGFB3_ACVR1C_TGFBR2","Thymus","Adipose Tissue","0"
"TGFB3_ACVR1C_TGFBR2","Lung","Blood","0.01"
"TGFB3_ACVR1C_TGFBR2","Lymph Node","Blood","0.04"
"TGFB3_ACVR1C_TGFBR2","Spleen","Blood","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Blood","0"
"TGFB3_ACVR1C_TGFBR2","Thymus","Blood","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Bone Marrow","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Brain","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Colon","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Gut","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Heart","0"
"TGFB3_ACVR1C_TGFBR2","Lung","Lamina Propia","0.03"
"TGFB3_ACVR1C_TGFBR2","Spleen","Lamina Propia","0.01"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Lamina Propia","0"
"TGFB3_ACVR1C_TGFBR2","Thymus","Lamina Propia","0.01"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Liver","0"
"TGFB3_ACVR1C_TGFBR2","Bone Marrow","Lung","0"
"TGFB3_ACVR1C_TGFBR2","Lamina Propia","Lung","0.02"
"TGFB3_ACVR1C_TGFBR2","Lung","Lung","0"
"TGFB3_ACVR1C_TGFBR2","Lymph Node","Lung","0.02"
"TGFB3_ACVR1C_TGFBR2","Spleen","Lung","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Lung","0"
"TGFB3_ACVR1C_TGFBR2","Thymus","Lung","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Lymph Node","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"TGFB3_ACVR1C_TGFBR2","Lung","Small Intestine","0.04"
"TGFB3_ACVR1C_TGFBR2","Spleen","Small Intestine","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Small Intestine","0"
"TGFB3_ACVR1C_TGFBR2","Thymus","Small Intestine","0.01"
"TGFB3_ACVR1C_TGFBR2","Spleen","Spleen","0.01"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Spleen","0"
"TGFB3_ACVR1C_TGFBR2","Thymus","Spleen","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Splenic","0"
"TGFB3_ACVR1C_TGFBR2","Bone Marrow","Subcutaneous Lymph Node","0.01"
"TGFB3_ACVR1C_TGFBR2","Lung","Subcutaneous Lymph Node","0.01"
"TGFB3_ACVR1C_TGFBR2","Lymph Node","Subcutaneous Lymph Node","0.04"
"TGFB3_ACVR1C_TGFBR2","Spleen","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1C_TGFBR2","Thymus","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1C_TGFBR2","Subcutaneous Lymph Node","Thymus","0"
"TGFB3_ACVR1_TGFBR1","Lung","Adipose Tissue","0.03"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Adipose Tissue","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Adipose Tissue","0"
"TGFB3_ACVR1_TGFBR1","Bone Marrow","Blood","0.02"
"TGFB3_ACVR1_TGFBR1","Lung","Blood","0.02"
"TGFB3_ACVR1_TGFBR1","Lymph Node","Blood","0.04"
"TGFB3_ACVR1_TGFBR1","Spleen","Blood","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Blood","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Blood","0.01"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Bone Marrow","0"
"TGFB3_ACVR1_TGFBR1","Bone Marrow","Brain","0"
"TGFB3_ACVR1_TGFBR1","Lamina Propia","Brain","0"
"TGFB3_ACVR1_TGFBR1","Lung","Brain","0"
"TGFB3_ACVR1_TGFBR1","Lymph Node","Brain","0"
"TGFB3_ACVR1_TGFBR1","Spleen","Brain","0"
"TGFB3_ACVR1_TGFBR1","Splenic","Brain","0.02"
