"","interaction","cell1","cell2","p-value"
"1","TGFB1_ACVR1B_TGFBR2","Eosinophil","ab T Cell","0"
"2","TGFB1_ACVR1B_TGFBR2","Microglia","ab T Cell","0.01"
"3","TGFB1_ACVR1B_TGFBR2","Monocyte","ab T Cell","0"
"4","TGFB1_ACVR1B_TGFBR2","Eosinophil","B Cell","0"
"5","TGFB1_ACVR1B_TGFBR2","Microglia","B Cell","0"
"6","TGFB1_ACVR1B_TGFBR2","Monocyte","B Cell","0"
"7","TGFB1_ACVR1B_TGFBR2","B Cell","Basophils","0.03"
"8","TGFB1_ACVR1B_TGFBR2","Eosinophil","Basophils","0"
"9","TGFB1_ACVR1B_TGFBR2","Granulocytes","Basophils","0.03"
"10","TGFB1_ACVR1B_TGFBR2","Microglia","Basophils","0"
"11","TGFB1_ACVR1B_TGFBR2","Monocyte","Basophils","0"
"12","TGFB1_ACVR1B_TGFBR2","Eosinophil","Dendritic Cell","0"
"13","TGFB1_ACVR1B_TGFBR2","B Cell","Eosinophil","0"
"14","TGFB1_ACVR1B_TGFBR2","Basophils","Eosinophil","0.01"
"15","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Eosinophil","0"
"16","TGFB1_ACVR1B_TGFBR2","Eosinophil","Eosinophil","0"
"17","TGFB1_ACVR1B_TGFBR2","Granulocytes","Eosinophil","0"
"18","TGFB1_ACVR1B_TGFBR2","Macrophage","Eosinophil","0"
"19","TGFB1_ACVR1B_TGFBR2","Microglia","Eosinophil","0"
"20","TGFB1_ACVR1B_TGFBR2","Monocyte","Eosinophil","0"
"21","TGFB1_ACVR1B_TGFBR2","B Cell","gd T cells","0.02"
"22","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","gd T cells","0.01"
"23","TGFB1_ACVR1B_TGFBR2","Eosinophil","gd T cells","0"
"24","TGFB1_ACVR1B_TGFBR2","Granulocytes","gd T cells","0.02"
"25","TGFB1_ACVR1B_TGFBR2","Microglia","gd T cells","0"
"26","TGFB1_ACVR1B_TGFBR2","Monocyte","gd T cells","0"
"27","TGFB1_ACVR1B_TGFBR2","B Cell","Granulocytes","0.01"
"28","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Granulocytes","0"
"29","TGFB1_ACVR1B_TGFBR2","Eosinophil","Granulocytes","0"
"30","TGFB1_ACVR1B_TGFBR2","Granulocytes","Granulocytes","0.03"
"31","TGFB1_ACVR1B_TGFBR2","Microglia","Granulocytes","0"
"32","TGFB1_ACVR1B_TGFBR2","Monocyte","Granulocytes","0"
"33","TGFB1_ACVR1B_TGFBR2","Eosinophil","Innate Lymphocytes","0"
"34","TGFB1_ACVR1B_TGFBR2","B Cell","Macrophage","0"
"35","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Macrophage","0"
"36","TGFB1_ACVR1B_TGFBR2","Eosinophil","Macrophage","0"
"37","TGFB1_ACVR1B_TGFBR2","Microglia","Macrophage","0"
"38","TGFB1_ACVR1B_TGFBR2","Monocyte","Macrophage","0"
"39","TGFB1_ACVR1B_TGFBR2","B Cell","Mast Cells","0"
"40","TGFB1_ACVR1B_TGFBR2","Basophils","Mast Cells","0.03"
"41","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Mast Cells","0"
"42","TGFB1_ACVR1B_TGFBR2","Eosinophil","Mast Cells","0"
"43","TGFB1_ACVR1B_TGFBR2","Granulocytes","Mast Cells","0"
"44","TGFB1_ACVR1B_TGFBR2","Macrophage","Mast Cells","0"
"45","TGFB1_ACVR1B_TGFBR2","Microglia","Mast Cells","0"
"46","TGFB1_ACVR1B_TGFBR2","Monocyte","Mast Cells","0"
"47","TGFB1_ACVR1B_TGFBR2","B Cell","Microglia","0"
"48","TGFB1_ACVR1B_TGFBR2","Basophils","Microglia","0.03"
"49","TGFB1_ACVR1B_TGFBR2","Dendritic Cell","Microglia","0"
