"interaction","cell1","cell2","p-value"
"TGFB1_ACVR1B_TGFBR2","B Cell","B Cell","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","Macrophage","0"
"TGFB1_ACVR1B_TGFBR2","B Cell","T Cell","0"
"TGFB1_ACVR1B_TGFBR2","Macrophage","T Cell","0"
"TGFB1_ACVR1B_TGFBR2","T Cell","T Cell","0.01"
"TGFB3_ACVR1B_TGFBR2","NK Cell","B Cell","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Macrophage","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","NK Cell","0.01"
"TGFB3_ACVR1B_TGFBR2","NK Cell","T Cell","0"
"TGFB1_ACVR1_TGFBR1","B Cell","B Cell","0.01"
"TGFB1_ACVR1_TGFBR1","B Cell","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","Macrophage","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","NK Cell","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","T Cell","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","B Cell","T Cell","0"
"TGFB3_ACVR1_TGFBR1","NK Cell","B Cell","0"
"TGFB3_ACVR1_TGFBR1","NK Cell","Macrophage","0"
"TGFB3_ACVR1_TGFBR1","NK Cell","NK Cell","0"
"TGFB3_ACVR1_TGFBR1","NK Cell","T Cell","0"
"BMP2_BMPR1A_ACVR2A","Macrophage","B Cell","0.01"
"BMP2_BMPR1A_ACVR2A","Macrophage","Macrophage","0"
"BMP2_BMPR1A_ACVR2A","Macrophage","NK Cell","0"
"BMP2_BMPR1A_ACVR2A","Macrophage","T Cell","0"
"BMP2_BMPR1A_ACVR2B","Macrophage","Macrophage","0"
"BMP2_BMPR1A_ACVR2B","Macrophage","T Cell","0"
"BMP2_BMPR1A_BMPR2","Macrophage","Macrophage","0"
"BMP2_BMPR1A_BMPR2","Macrophage","NK Cell","0.01"
"BMP2_BMPR1A_BMPR2","Macrophage","T Cell","0"
"BMP2_BMPR1B_ACVR2B","Macrophage","B Cell","0"
"BMP2_BMPR1B_ACVR2B","Macrophage","Macrophage","0"
