"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"TGFB1_ACVR1B_TGFBR2","TGFB1_ACVR1B_TGFBR2","TGFb","Tgfb1","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb1  - (Acvr1b+Tgfbr2)"
"TGFB3_ACVR1B_TGFBR2","TGFB3_ACVR1B_TGFBR2","TGFb","Tgfb3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1b+Tgfbr2)"
"TGFB1_ACVR1_TGFBR1","TGFB1_ACVR1_TGFBR1","TGFb","Tgfb1","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb1  - (Acvr1+Tgfbr1)"
"TGFB3_ACVR1_TGFBR1","TGFB3_ACVR1_TGFBR1","TGFb","Tgfb3","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb3  - (Acvr1+Tgfbr1)"
"BMP2_BMPR1A_ACVR2A","BMP2_BMPR1A_ACVR2A","BMP","Bmp2","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2a)"
"BMP2_BMPR1A_ACVR2B","BMP2_BMPR1A_ACVR2B","BMP","Bmp2","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2b)"
"BMP2_BMPR1A_BMPR2","BMP2_BMPR1A_BMPR2","BMP","Bmp2","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Bmpr2)"
"BMP2_BMPR1B_ACVR2B","BMP2_BMPR1B_ACVR2B","BMP","Bmp2","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Acvr2b)"
"BMP2_BMPR1B_BMPR2","BMP2_BMPR1B_BMPR2","BMP","Bmp2","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Bmpr2)"
"BMP15_BMPR1B_BMPR2","BMP15_BMPR1B_BMPR2","BMP","Bmp15","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp15  - (Bmpr1b+Bmpr2)"
