"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"TGFB3_TGFBR1_TGFBR2","TGFB3_TGFBR1_TGFBR2","TGFb","Tgfb3","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: mmu04350","Secreted Signaling","Tgfb3  - (Tgfbr1+Tgfbr2)"
"TGFB3_ACVR1B_TGFBR2","TGFB3_ACVR1B_TGFBR2","TGFb","Tgfb3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1b+Tgfbr2)"
"TGFB3_ACVR1C_TGFBR2","TGFB3_ACVR1C_TGFBR2","TGFb","Tgfb3","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","Tgfb3  - (Acvr1c+Tgfbr2)"
"TGFB3_ACVR1_TGFBR1","TGFB3_ACVR1_TGFBR1","TGFb","Tgfb3","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb3  - (Acvr1+Tgfbr1)"
"BMP2_BMPR1A_ACVR2A","BMP2_BMPR1A_ACVR2A","BMP","Bmp2","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2a)"
"BMP2_BMPR1A_ACVR2B","BMP2_BMPR1A_ACVR2B","BMP","Bmp2","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2b)"
"BMP2_BMPR1A_BMPR2","BMP2_BMPR1A_BMPR2","BMP","Bmp2","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Bmpr2)"
"BMP2_BMPR1B_ACVR2B","BMP2_BMPR1B_ACVR2B","BMP","Bmp2","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Acvr2b)"
"BMP2_BMPR1B_BMPR2","BMP2_BMPR1B_BMPR2","BMP","Bmp2","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Bmpr2)"
"BMP6_ACVR1_ACVR2A","BMP6_ACVR1_ACVR2A","BMP","Bmp6","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Acvr2a)"
"BMP6_ACVR1_ACVR2B","BMP6_ACVR1_ACVR2B","BMP","Bmp6","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Acvr2b)"
"BMP6_ACVR1_BMPR2","BMP6_ACVR1_BMPR2","BMP","Bmp6","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Bmpr2)"
"BMP6_BMPR1A_ACVR2A","BMP6_BMPR1A_ACVR2A","BMP","Bmp6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2a)"
"BMP6_BMPR1A_ACVR2B","BMP6_BMPR1A_ACVR2B","BMP","Bmp6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2b)"
"BMP6_BMPR1A_BMPR2","BMP6_BMPR1A_BMPR2","BMP","Bmp6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Bmpr2)"
"BMP6_BMPR1B_ACVR2B","BMP6_BMPR1B_ACVR2B","BMP","Bmp6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Acvr2b)"
"BMP6_BMPR1B_BMPR2","BMP6_BMPR1B_BMPR2","BMP","Bmp6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Bmpr2)"
"BMP7_ACVR1_ACVR2A","BMP7_ACVR1_ACVR2A","BMP","Bmp7","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Acvr2a)"
"BMP7_ACVR1_ACVR2B","BMP7_ACVR1_ACVR2B","BMP","Bmp7","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Acvr2b)"
"BMP7_ACVR1_BMPR2","BMP7_ACVR1_BMPR2","BMP","Bmp7","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Bmpr2)"
"BMP7_BMPR1A_ACVR2A","BMP7_BMPR1A_ACVR2A","BMP","Bmp7","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Acvr2a)"
"BMP7_BMPR1A_ACVR2B","BMP7_BMPR1A_ACVR2B","BMP","Bmp7","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Acvr2b)"
"BMP7_BMPR1A_BMPR2","BMP7_BMPR1A_BMPR2","BMP","Bmp7","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Bmpr2)"
"BMP7_BMPR1B_ACVR2B","BMP7_BMPR1B_ACVR2B","BMP","Bmp7","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Acvr2b)"
"BMP7_BMPR1B_BMPR2","BMP7_BMPR1B_BMPR2","BMP","Bmp7","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Bmpr2)"
"BMP8B_ACVR1_ACVR2A","BMP8B_ACVR1_ACVR2A","BMP","Bmp8b","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Acvr2a)"
"BMP8B_ACVR1_ACVR2B","BMP8B_ACVR1_ACVR2B","BMP","Bmp8b","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Acvr2b)"
"BMP8B_ACVR1_BMPR2","BMP8B_ACVR1_BMPR2","BMP","Bmp8b","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Bmpr2)"
"BMP8B_BMPR1A_ACVR2A","BMP8B_BMPR1A_ACVR2A","BMP","Bmp8b","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Acvr2a)"
